departure_point,arrival_point
TUN,IST
DJE,NTE
TUN,MED
IST,TUN
CMN,TUN
DJE,LYS
ORY,TUN
TUN,OUA
IST,TUN
ABJ,TUN
TUN,GVA
ALG,TUN
LIS,MAD
TUN,MED
TUN,ALG
TUN,ORY
ALG,TUN
TUN,IST
ALG,TUN
MIR,DJE
DJE,JED
OUA,ABJ
TUN,CMN
TUN,NCE
TUN,FCO
TUN,VIE
TUN,BLQ
OPO,LIS
BCN,TUN
TUN,LHR
TUN,MXP
TUN,NCE
TUN,FCO
TUN,LYS
TUN,MXP
MXP,TUN
TUN,DJE
MIR,TUN
TUN,CAI
DJE,TUN
MRS,TUN
DJE,SFA
OUD,MRS
SXF,DJE
OUD,ORY
MIR,TUN
ORY,TUN
VCE,TUN
TUN,MRS
TUN,ORY
TUN,BRU
TUN,LYS
DJE,ORY
TUN,LIS
TUN,MAD
SXB,DJE
ORY,TUN
TUN,ORY
TUN,NBE
TUN,MIR
TUN,MIR
DJE,MIR
DJE,TUN
NBE,DUS
NBE,HAM
MRS,TUN
NCE,TUN
TUN,DJE
ORY,TUN
DJE,NCE
MRS,TUN
TUN,MRS
DJE,ORY
TUN,BRU
TUN,MXP
TUN,GVA
TLS,TUN
ALG,TUN
CAI,TUN
MIR,DJE
TUN,FCO
CMN,TUN
TUN,DJE
TUN,ORN
DUS,TUN
TUN,DJE
TUN,CMN
LGW,TUN
TUN,VCE
TUN,CMN
NCE,TUN
CMN,TUN
DJE,DUS
TUN,DUS
TUN,MIR
NBE,HAM
NBE,DUS
TUN,FRA
TUN,LHR
MIR,DJE
TUN,IST
NBE,TUN
TUN,BLQ
TUN,CMN
GVA,DJE
DUS,DJE
CMN,TUN
NBE,SXF
TUN,IST
LYS,TUN
TUN,ORY
NBE,DJE
DJE,MIR
TUN,ALG
FCO,TUN
FCO,TUN
DJE,FRA
ORY,TUN
TUN,ORY
TUN,MXP
CAI,TUN
DJE,TUN
NBE,DJE
FCO,TUN
IST,TUN
CMN,TUN
DJE,TUN
TUN,ORY
DJE,ORY
MIR,ORY
FCO,TUN
NBE,HAM
TUN,ORY
MRS,TUN
DJE,LYS
TUN,DJE
DJE,ORY
ZRH,TUN
TUN,ALG
DJE,TUN
TUN,FCO
DJE,ORY
TUN,MRS
DJE,SXB
NDR,BRU
DJE,CDG
FRA,NBE
MIR,NCE
DJE,ORY
NDR,BRU
DJE,LJU
NDR,AMS
NCE,MIR
BRU,TUN
NBE,FRA
MIR,OST
TUN,CAI
SFA,JED
NBE,TUN
TUN,NCE
TUN,MXP
TUN,LYS
NCE,DJE
BEY,TUN
DJE,ORY
TLS,TUN
GVA,TUN
NCE,TUN
LHR,TUN
VIE,TUN
TUN,JED
TUN,FCO
TUN,BCN
MRS,TUN
MIR,ORY
GVA,TUN
VCE,TUN
MRS,DJE
MIR,TUN
ORY,TUN
LIS,MAD
TUN,ORY
TUN,JED
TUN,NCE
TUN,FCO
TUN,LYS
LGW,TUN
DUS,TUN
NCE,TUN
FCO,TUN
CDG,SFA
TUN,ORY
TUN,ORN
TUN,SXB
TUN,IST
TUN,LGW
TUN,CAI
TUN,ALG
TUN,MIR
ORY,DJE
LGW,TUN
MXP,TUN
CMN,TUN
BCN,TUN
CAI,TUN
MIR,ORY
DJE,MIR
DJE,MIR
MIR,LYS
MIR,MRS
DJE,TOE
TUN,MRS
TUN,ORY
NCE,MIR
TUN,FCO
FCO,TUN
MIR,DJE
MIR,DJE
MIR,ORY
DJE,ORY
TUN,BLQ
BLQ,TUN
MIR,ORY
TUN,MRS
ORY,TUN
DJE,TUN
TUN,ORY
BLQ,TUN
TUN,ORY
NBE,DUS
TUN,ORY
TUN,NKC
MIR,DJE
TUN,ALG
TUN,VIE
MRS,DJE
CDG,TUN
