departure_time,departure_point
01/01/2016 00:15,NKC
01/01/2016 01:20,DKR
01/01/2016 06:15,TUN
01/01/2016 06:30,TUN
01/01/2016 07:00,MIR
01/01/2016 07:05,TUN
01/01/2016 07:10,TUN
01/01/2016 07:30,TUN
01/01/2016 07:35,TUN
01/01/2016 07:35,TUN
01/01/2016 07:40,TUN
01/01/2016 07:45,TUN
01/01/2016 07:55,TUN
01/01/2016 08:00,DJE
01/01/2016 08:00,ORY
01/01/2016 08:20,TUN
01/01/2016 09:10,TUN
01/01/2016 09:30,NCE
01/01/2016 09:30,TUN
01/01/2016 09:45,TUN
01/01/2016 10:05,FCO
01/01/2016 10:05,TUN
01/01/2016 10:10,AMS
01/01/2016 10:10,MAD
01/01/2016 10:15,MXP
01/01/2016 10:15,NCE
01/01/2016 10:15,TLS
01/01/2016 10:20,MRS
01/01/2016 10:30,FRA
01/01/2016 10:55,ORY
01/01/2016 11:35,BLQ
01/01/2016 11:55,DUS
01/01/2016 12:15,NAP
01/01/2016 12:15,TUN
01/01/2016 12:20,TUN
01/01/2016 12:30,TUN
01/01/2016 12:30,TUN
01/01/2016 12:40,TUN
01/01/2016 12:45,TUN
01/01/2016 12:55,TUN
01/01/2016 13:00,TUN
01/01/2016 13:10,TUN
01/01/2016 13:20,TUN
01/01/2016 13:25,ORY
01/01/2016 13:35,BEY
01/01/2016 13:35,DJE
01/01/2016 13:40,DJE
01/01/2016 13:40,MIR
01/01/2016 13:40,TUN
01/01/2016 13:45,TUN
01/01/2016 14:00,TUN
01/01/2016 14:05,TUN
01/01/2016 14:05,TUN
01/01/2016 14:10,TUN
01/01/2016 14:30,MLA
01/01/2016 14:30,TUN
01/01/2016 14:30,TUN
01/01/2016 15:05,LYS
01/01/2016 15:05,MXP
01/01/2016 15:20,TUN
01/01/2016 15:25,GVA
01/01/2016 15:30,DJE
01/01/2016 15:30,NCE
01/01/2016 15:35,VCE
01/01/2016 15:40,ORY
01/01/2016 15:55,MUC
01/01/2016 16:05,FCO
01/01/2016 16:20,BOD
01/01/2016 16:35,MRS
01/01/2016 16:40,BCN
01/01/2016 16:50,LHR
01/01/2016 16:55,ORY
01/01/2016 17:00,ALG
01/01/2016 17:10,SXB
01/01/2016 17:15,ORY
01/01/2016 17:15,TUN
01/01/2016 17:25,BRU
01/01/2016 17:45,CMN
01/01/2016 18:30,ORY
01/01/2016 18:30,SXB
01/01/2016 18:30,TUN
01/01/2016 19:00,DJE
01/01/2016 19:40,TUN
01/01/2016 20:00,TUN
01/01/2016 20:00,TUN
01/01/2016 22:00,TUN
02/01/2016 00:55,JED
02/01/2016 01:25,MED
02/01/2016 02:55,TUN
02/01/2016 04:10,TUN
02/01/2016 04:20,DJE
02/01/2016 04:25,TOE
02/01/2016 04:30,TUN
02/01/2016 04:35,TUN
02/01/2016 04:40,DJE
02/01/2016 04:50,TUN
02/01/2016 05:00,TUN
02/01/2016 05:50,DJE
02/01/2016 06:00,MIR
02/01/2016 06:00,NBE
02/01/2016 06:05,DJE
02/01/2016 06:15,NBE
02/01/2016 06:15,TUN
02/01/2016 06:20,NBE
02/01/2016 06:30,DJE
02/01/2016 07:00,MIR
02/01/2016 07:05,TUN
02/01/2016 07:25,TUN
02/01/2016 07:30,TUN
02/01/2016 07:35,DJE
02/01/2016 07:35,GVA
02/01/2016 07:35,TUN
02/01/2016 07:40,TUN
02/01/2016 07:45,TUN
02/01/2016 07:55,TUN
02/01/2016 08:00,DJE
02/01/2016 08:00,IST
02/01/2016 08:00,ORY
02/01/2016 08:00,TUN
02/01/2016 08:00,TUN
02/01/2016 08:50,LYS
02/01/2016 09:20,MUC
02/01/2016 09:40,MRS
02/01/2016 09:50,BRU
02/01/2016 09:55,DUS
02/01/2016 10:05,FCO
02/01/2016 10:05,TUN
02/01/2016 10:15,NCE
02/01/2016 10:20,DUS
02/01/2016 10:20,GVA
02/01/2016 10:30,FRA
02/01/2016 10:30,ZRH
02/01/2016 10:50,LYS
02/01/2016 10:55,ORY
02/01/2016 11:00,MRS
02/01/2016 11:35,BRU
02/01/2016 11:40,HAM
02/01/2016 12:10,MIR
02/01/2016 12:15,TUN
02/01/2016 12:20,TUN
02/01/2016 12:25,NBE
02/01/2016 12:30,TUN
02/01/2016 12:45,TUN
02/01/2016 13:15,TUN
02/01/2016 13:25,ORY
02/01/2016 13:25,TUN
02/01/2016 13:35,DJE
02/01/2016 13:40,TUN
02/01/2016 13:45,TUN
02/01/2016 13:50,NBE
02/01/2016 14:00,DJE
02/01/2016 14:00,TUN
02/01/2016 14:30,TUN
02/01/2016 14:30,TUN
02/01/2016 14:40,NCE
02/01/2016 15:05,MXP
02/01/2016 15:10,DJE
02/01/2016 15:30,DJE
02/01/2016 15:35,LYS
02/01/2016 15:35,NBE
02/01/2016 15:35,TUN
02/01/2016 15:40,ORY
02/01/2016 15:45,DJE
02/01/2016 15:50,MRS
02/01/2016 16:00,TUN
02/01/2016 16:25,TLS
02/01/2016 16:50,LHR
02/01/2016 17:00,ALG
02/01/2016 17:15,FRA
02/01/2016 17:15,ORY
02/01/2016 17:15,TUN
02/01/2016 17:20,NBE
02/01/2016 17:55,CAI
02/01/2016 18:00,MRS
02/01/2016 18:05,MIR
02/01/2016 18:30,ORY
02/01/2016 18:30,TUN
02/01/2016 18:55,FRA
02/01/2016 19:00,DJE
02/01/2016 19:20,SXF
02/01/2016 20:00,TUN
02/01/2016 20:10,IST
02/01/2016 20:40,NBE
02/01/2016 21:35,BRU
02/01/2016 23:00,DJE
02/01/2016 23:00,NBE
03/01/2016 00:55,JED
03/01/2016 06:15,TUN
03/01/2016 07:05,TUN
03/01/2016 07:15,TUN
03/01/2016 07:30,TUN
03/01/2016 07:35,TUN
03/01/2016 07:35,TUN
03/01/2016 07:40,TUN
03/01/2016 07:45,TUN
03/01/2016 07:55,TUN
03/01/2016 08:00,DJE
03/01/2016 08:00,ORY
03/01/2016 08:00,TUN
03/01/2016 08:00,TUN
03/01/2016 08:10,MIR
03/01/2016 08:15,DJE
03/01/2016 08:15,TUN
03/01/2016 09:45,TUN
03/01/2016 10:05,FCO
03/01/2016 10:05,TUN
03/01/2016 10:15,NCE
03/01/2016 10:20,MRS
03/01/2016 10:30,FRA
03/01/2016 10:30,NTE
03/01/2016 10:40,VIE
03/01/2016 10:45,ALG
03/01/2016 10:50,LYS
03/01/2016 11:00,NCE
03/01/2016 11:25,ORY
03/01/2016 11:30,ORY
03/01/2016 11:35,BEY
03/01/2016 11:35,BRU
03/01/2016 11:45,MLA
03/01/2016 11:50,TUN
03/01/2016 12:20,TUN
03/01/2016 12:30,TUN
03/01/2016 12:40,TUN
03/01/2016 12:45,DJE
03/01/2016 12:45,TUN
03/01/2016 13:00,TUN
03/01/2016 13:00,TUN
03/01/2016 13:10,TUN
03/01/2016 13:25,ORY
03/01/2016 13:35,DJE
03/01/2016 13:40,TUN
03/01/2016 13:40,TUN
03/01/2016 13:45,TUN
03/01/2016 13:48,TUN
03/01/2016 14:00,DJE
03/01/2016 14:00,DJE
03/01/2016 14:05,DJE
03/01/2016 14:05,TUN
03/01/2016 14:05,TUN
03/01/2016 14:10,DJE
03/01/2016 14:15,TUN
03/01/2016 15:05,MXP
03/01/2016 15:10,TUN
03/01/2016 15:25,BLQ
03/01/2016 15:25,GVA
03/01/2016 15:30,DJE
03/01/2016 15:30,NCE
03/01/2016 15:50,TLS
03/01/2016 15:55,TUN
03/01/2016 16:00,TUN
03/01/2016 16:05,FCO
03/01/2016 16:05,ORY
03/01/2016 16:20,TLS
03/01/2016 16:35,MRS
03/01/2016 16:40,BCN
03/01/2016 16:40,TUN
03/01/2016 16:45,MRS
03/01/2016 16:50,LHR
03/01/2016 17:05,ORY
03/01/2016 17:15,LYS
03/01/2016 17:15,ORY
03/01/2016 17:15,TUN
03/01/2016 17:25,MAD
03/01/2016 17:35,LYS
03/01/2016 17:50,NTE
03/01/2016 18:20,ORY
03/01/2016 18:25,ALG
03/01/2016 18:30,ORY
03/01/2016 18:30,TUN
03/01/2016 18:30,TUN
03/01/2016 18:30,TUN
03/01/2016 19:00,DJE
03/01/2016 19:00,TUN
03/01/2016 19:10,VCE
03/01/2016 20:10,IST
03/01/2016 20:40,DJE
03/01/2016 21:00,TUN
03/01/2016 21:15,DJE
03/01/2016 23:40,OUA
04/01/2016 00:15,NKC
04/01/2016 01:20,DKR
04/01/2016 01:55,ABJ
04/01/2016 05:10,MIR
04/01/2016 06:15,TUN
04/01/2016 06:55,TUN
04/01/2016 07:00,DJE
04/01/2016 07:00,MIR
04/01/2016 07:05,TUN
04/01/2016 07:05,TUN
04/01/2016 07:15,TUN
04/01/2016 07:15,TUN
04/01/2016 07:20,TUN
04/01/2016 07:30,TUN
04/01/2016 07:35,TUN
04/01/2016 07:35,TUN
04/01/2016 07:40,TUN
04/01/2016 07:45,TUN
04/01/2016 07:45,TUN
04/01/2016 08:00,DJE
04/01/2016 08:00,ORY
